#{"t_start": 1722442269.9361308, "env_id": "None"}
r,l,t
-2.4807842997257664e+16,48,5.322851
-2.310170136960535e+16,48,5.356826
-1.0719658437011286e+16,48,5.391967
-1.213255982483443e+16,48,5.425822
-1.6007023746273248e+16,48,5.460427
-6763349647631680.0,48,5.496033
-8951058318032961.0,48,5.530308
-3.724629155920384e+16,48,5.564493
-9019652466106088.0,48,5.599608
-1.0078438981679e+16,48,5.633721
-4311676587324867.5,48,5.667923
-1.1156088423523462e+16,48,5.703354
-3.082240539386735e+16,48,5.737142
-1.165218553290781e+16,48,5.771146
-2.2975513562364076e+16,48,5.806201
-1.5835435817846714e+16,48,5.83999
-1.3747559861917096e+16,48,5.873794
-1.0858427092772028e+16,48,5.908569
-1.1698796085164412e+16,48,5.942358
-1.3595706175546618e+16,48,5.976052
-2.337621833406547e+16,48,6.010977
-2.795632364311254e+16,48,6.044426
-6880784622481147.0,48,6.079017
-2.1036811489913456e+16,48,6.112891
-3.459810329318585e+16,48,6.146923
-2.229334393604842e+16,48,6.182107
-1.4301355186396284e+16,48,6.216196
-2836788679553885.5,48,6.250232
-2.2727775835392344e+16,48,6.417937
-2.980805639957455e+16,48,6.452033
-5550877172539530.0,48,6.487133
-5592183896085277.0,48,6.521484
-9497745482337150.0,48,6.555022
-1.2415952624241204e+16,48,6.589704
-3.569491705164092e+16,48,6.623507
-1.6350495585910376e+16,48,6.65712
-7616422028131404.0,48,6.691858
-2.008222881011232e+16,48,6.725392
-7824369755150012.0,48,6.758988
-2.1428732881165144e+16,48,6.793896
-8749089885603477.0,48,6.827716
-8030671916745730.0,48,6.861227
-9254941439753838.0,48,6.896157
-8593603071895078.0,48,6.929797
-1.0120823287744424e+16,48,6.963403
-1.1043170051828886e+16,48,6.998047
-1.3853037976631264e+16,48,7.031795
-1.1200727799170264e+16,48,7.065526
-6977846647433267.0,48,7.10055
-2.8696976738592956e+16,48,7.134121
-1.544308291345984e+16,48,7.167743
-7777880852706926.0,48,7.202615
-3340573930944753.5,48,7.23651
-1.8225229462873468e+16,48,7.269899
-4573164433728963.0,48,7.304733
-1.9183635616595012e+16,48,7.338587
-1.5768068004289184e+16,48,7.372288
-1.5685235976603828e+16,48,7.407145
-7967862439340269.0,48,7.440845
-1.432249731544e+16,48,7.474995
-1.4487244215528e+16,48,7.510626
-2.142795030361984e+16,48,7.544265
-1.2556523504554218e+16,48,7.577936
-2.2845833341630864e+16,48,7.61286
-8626317769439317.0,48,7.646683
-1.5873782457163416e+16,48,7.680238
-8932356378811272.0,64,7.972139
-1.4187889342968746e+16,48,8.007265
-1.0452329475332504e+16,48,8.041175
-9097543390757334.0,48,8.075028
-1.1754200330979702e+16,48,8.10997
-4029335004353542.5,48,8.288058
-2650782905942168.5,48,8.323623
-2.2332124546550964e+16,48,8.357902
-2.2946450084839704e+16,48,8.392351
-1.901189027196977e+16,48,8.427774
-7920892288949850.0,48,8.462396
-6442138231643415.0,48,8.497373
-1.2261210454084896e+16,48,8.532997
-1.05032427282684e+16,48,8.567623
-3469555604603862.5,48,8.602322
-2827849404488574.0,48,8.638325
-1.2682765415319616e+16,48,8.67238
-2.260827977213521e+16,48,8.706939
-1.2604061669913474e+16,48,8.742296
-1.8204239515418536e+16,48,8.776798
-3514104175001744.0,48,8.81097
-4918211364927720.0,48,8.846827
-3.26987799805135e+16,48,8.881326
-3.4522983524353284e+16,48,8.917096
-7373696414371816.0,48,8.951348
-1.6160100282063688e+16,48,8.985816
-8021566300122477.0,48,9.021239
-2.8548283477620976e+16,48,9.055647
-1.3182430813905524e+16,48,9.089979
-1.291733781001912e+16,48,9.125658
-4.559403336069133e+16,48,9.159936
-3.892913462570455e+16,48,9.194358
-3549952318781278.5,48,9.229994
-1.0079853696162268e+16,48,9.264358
-8915519484641668.0,48,9.298723
-1.8183273348906976e+16,48,9.33411
-1.4156647536817588e+16,48,9.368173
-2.4415219220876344e+16,48,9.402721
-1.6723891540250102e+16,48,9.438556
-7353493136757047.0,48,9.473448
-3185528750862934.0,48,9.508023
-9741236082759656.0,48,9.543642
-6237367200931043.0,48,9.578187
-1.2133561362251384e+16,48,9.612704
-6611706565233870.0,48,9.648251
-2.055154470463034e+16,48,9.682783
-5747890359564387.0,48,9.717345
-1.8898617618779604e+16,48,9.894734
-2.231011187784504e+16,48,9.930467
-2250658116967891.2,48,9.965072
-1.452237110237812e+16,48,9.99942
-2.2175305013428508e+16,48,10.035085
-1.2526625681250028e+16,48,10.069187
-4294957840481848.5,48,10.103611
-1.3949172402246474e+16,48,10.139309
-8829862451222833.0,48,10.173605
-1.381317936672332e+16,48,10.20772
-5233242549516063.0,48,10.243383
-2.5247641131148532e+16,48,10.277741
-1.515700385080278e+16,48,10.312324
-6713202935616784.0,48,10.347719
-5913460097018269.0,48,10.38144
-1.0758321366070228e+16,48,10.415157
-1.665760197979291e+16,48,10.450196
-5471160011867379.0,48,10.484507
-8116011806582227.0,48,10.518638
-1.7377864716348818e+16,48,10.55351
-2.0225898990795636e+16,48,10.587268
-1.4124816792659468e+16,48,10.621089
-1.5437037465394332e+16,48,10.656297
-1.001851187831269e+16,48,10.690373
-1.5799277696945014e+16,48,10.724754
-9357718848952382.0,48,10.760207
-5868186040093674.0,48,10.79462
-7757856278482026.0,48,10.829057
-1.4653729514845218e+16,48,10.864614
-1.757301151945604e+16,48,10.898668
-1.1073410612029512e+16,48,10.932965
-1.1913244028853564e+16,48,10.96856
-4165695055382027.5,48,11.00262
-4440112373596746.0,48,11.036739
-6007246545391932.0,48,11.072372
-1.2267808985907118e+16,48,11.106574
-1.172130710858178e+16,48,11.142115
-7072206909476744.0,48,11.176278
-9185854944880016.0,48,11.210703
-7624794789692135.0,48,11.246054
-4747755967961479.0,48,11.280506
-5711484547347433.0,48,11.314779
-1.278154097511546e+16,48,11.350114
-1332791496111596.2,48,11.524638
-9233643908773870.0,48,11.560029
-7969077552860711.0,48,11.593935
-3987895123646675.0,48,11.627956
