#{"t_start": 1722596539.8707263, "env_id": "None"}
r,l,t
-1923.748539,48,0.049824
-1424.549131,48,0.092438
-793.855023,48,0.136235
-1002.783469,48,0.178889
-1279.672762,48,0.222743
-1541.881987,48,0.265088
-1266.238808,48,0.306973
-1411.712572,48,0.349917
-1386.723041,48,0.392766
-1128.557301,48,0.436161
-2759.968079,48,0.478395
-936.623081,48,0.522256
-1253.81095,48,0.564533
-989.031781,48,0.607238
-1618.837542,48,0.651499
-1681.333514,48,0.693682
-1733.265942,48,0.739764
-1599.758477,48,0.782713
-1751.319071,48,0.827215
-1051.053302,48,0.8703
-1524.917466,48,0.913189
-1539.41469,48,0.957319
-1327.069411,48,1.000092
-1640.89614,48,1.044054
-1364.0378,48,1.087523
-1038.446606,48,1.131634
-1414.896938,48,1.174096
-2371.496417,48,1.217139
-1711.774027,48,1.26052
-1189.945872,48,1.303206
-1280.824296,48,1.346546
-1656.672533,48,1.388613
-2007.611568,48,1.43198
-1625.640242,48,1.475754
-1818.937576,48,1.518546
-1235.39893,48,1.562241
-1172.274685,48,1.604327
-1123.900816,48,1.647676
-1893.768058,48,1.689953
-1241.811369,48,1.733217
-1528.471483,48,1.776142
-1335.181075,48,1.817997
-1276.445906,48,1.861435
-1881.103283,48,1.903769
-1969.777836,48,1.947251
-1058.184114,48,1.990473
-944.352163,48,2.033848
-1595.208027,48,2.076057
-1781.106875,48,2.11801
-1490.956663,48,2.162277
-1394.683363,48,2.207713
-2370.673399,48,2.251834
-1394.39611,48,2.29403
-2276.273344,48,2.337227
-2076.713456,48,2.379412
-1136.794979,48,2.421592
-1067.514329,48,2.465573
-2857.662613,48,2.507758
-2591.803071,48,2.551196
-2338.361838,48,2.593137
-1535.878294,48,2.635524
-1072.991807,48,2.682611
-1391.108809,48,2.724859
-1456.199865,48,2.768154
-1979.118072,48,2.810076
-1154.199712,48,2.853437
-922.576288,48,2.897643
-1339.665124,48,2.941109
-1332.802398,48,2.983596
-1374.266425,48,3.025793
-1171.069547,48,3.068792
-2118.844321,48,3.11076
-4340.584096,48,3.155028
-1262.650772,48,3.197719
-2157.321203,48,3.24021
-7131.732674,48,3.283963
-1775.100687,48,3.325823
-1740.839242,48,3.371865
-1213.912947,48,3.414124
-4268.503528,48,3.45743
-1370.813391,48,3.499654
-3049.860555,48,3.54207
-1888.793624,48,3.587759
-1320.227539,48,3.633179
-2370.025454,48,3.677669
-948.627251,48,3.720787
-1328.617961,48,3.765313
-2114.951287,48,3.808141
-4333.872243,48,3.853156
-1257.515824,48,3.895849
-1983.157231,48,3.937792
-2283.235687,48,3.981255
-814.755957,48,4.023281
-1228.603481,48,4.067476
-1621.176981,48,4.110098
-1128.41141,48,4.152082
-2071.794836,48,4.195583
-1797.290414,48,4.238518
-1341.709922,48,4.28283
-1815.074275,48,4.325975
-1350.061103,48,4.371625
-1326.342162,48,4.413504
-1530.637958,48,4.456914
-1829.104056,48,4.49967
-947.550158,48,4.541955
-1910.917712,48,4.585413
-1710.488049,48,4.627764
-6674.934343,48,4.670889
-3988.233752,48,4.71305
-902.518723,48,4.755638
-1962.421989,48,4.799882
-1421.126424,48,4.843035
-1919.954569,48,4.886347
-999.327092,48,4.928367
-1126.031701,48,4.971983
-1095.747031,48,5.014545
-1243.134801,48,5.058305
