#{"t_start": 1722461336.3579764, "env_id": "None"}
r,l,t
-1.1503033503052245e+27,48,0.074175
-2.2620160813853866e+27,48,0.120891
-1.3944812727924778e+27,48,0.166945
-4.727867400547035e+27,48,0.218298
-4.234965126091944e+27,48,0.269046
-1.8908202024597512e+27,48,0.317411
-2.5984788611194424e+27,48,0.362204
-4.41638270304306e+27,48,0.406662
-1.4224224622661763e+27,48,0.452707
-1.5925733209392227e+27,48,0.497423
-8.423924782791352e+26,48,0.54423
-2.989351074077687e+27,48,0.590757
-2.635108356368821e+27,48,0.63826
-1.0998973727857778e+27,48,0.684914
-7.797908650805666e+26,48,0.732823
-7.038450274425508e+26,48,0.779532
-3.8699096835290626e+26,48,0.829276
-5.2404309039567096e+26,48,0.875843
-3.208083686736265e+26,48,0.923387
-4.696268140984716e+26,48,0.970018
-2.5976688364416897e+26,48,1.017895
-4.988533480044928e+26,48,1.06409
-3.937535901692596e+26,48,1.109729
-2.6631510086368893e+26,48,1.156945
-2.693030534018417e+26,48,1.202828
-9.205517168181748e+26,48,1.249926
-3.0666499910297886e+26,48,1.295992
-5.979024989906026e+26,48,1.344805
-3.623459228209467e+26,48,1.391682
-3.9816005975463e+25,48,1.4378
-9.454206881681391e+26,48,1.482627
-3.7416782700024226e+26,48,1.528716
-1.1495607375531242e+26,48,1.573429
-1.1699840870783976e+26,48,1.62211
-3.3951825274227742e+25,48,1.668994
-3.401877196320971e+25,48,1.714176
-1.3994079573253538e+26,48,1.760601
-1.5887727390529237e+26,48,1.805584
-4.252452934735368e+25,48,1.85176
-1.603368028178747e+26,48,1.896749
-8.720502078446275e+25,48,1.942422
-2.6980925885761205e+25,48,1.987157
-1.6160778378361846e+26,48,2.033538
-2.0093229366676944e+26,48,2.078504
-6.337640191186482e+25,48,2.123429
-9.459929940575102e+26,48,2.169563
-1.0091307917583186e+26,48,2.214405
-6.0920494851737066e+25,48,2.261213
-1.6715051445417996e+25,48,2.307645
-8.349357339547616e+25,48,2.355637
-3.918010272099186e+25,48,2.405279
-2.1060090418807667e+25,48,2.4542
-1.628258282539528e+25,48,2.500492
-1.4592281142402302e+25,48,2.547857
-1.726773030301815e+25,48,2.594082
-1.9019776465240842e+25,48,2.64122
-1.4705177292682271e+23,48,2.687526
-7.499364590375052e+25,48,2.733641
-5.971861898864637e+25,48,2.781166
-3.315005476407142e+25,48,2.827258
-1.573893320699892e+25,48,2.874525
-1.0967103299713063e+26,48,2.920525
-9.561986036998568e+24,48,2.968378
-5.40362930940451e+24,48,3.015034
-4.860673847230726e+24,48,3.063204
-1.0789335511057907e+26,48,3.109985
-3.712074083720038e+24,48,3.159655
-3.289479547912891e+25,48,3.205417
-1.0679187891219365e+25,48,3.2527
-7.67925283167038e+25,48,3.299166
-9.916752545333662e+24,48,3.345098
-3.459680829005719e+25,48,3.392449
-3.821766681802268e+25,48,3.438452
-6.458610616811888e+25,48,3.486276
-2.157688702105992e+25,48,3.532548
-5.410459094048245e+24,48,3.579899
-1.3045292750857776e+25,48,3.625692
-5.4727487729438895e+25,48,3.673375
-5.904868962404458e+25,48,3.719506
-1.5017919895242016e+25,48,3.766848
-5.59442125676192e+24,48,3.812936
-1.3017304555238448e+24,48,3.85947
-3.473818062211407e+25,48,3.905534
-8.358359879682994e+24,48,3.954895
-4.2309113105016825e+25,48,4.001101
-3.1495598729131318e+25,48,4.047257
-3.677149700594044e+24,48,4.09436
-7.548788791322365e+25,48,4.140686
-8.848970917412686e+24,48,4.187775
-1.2261804109061193e+25,48,4.233886
-1.9613156166056574e+25,48,4.280735
-3.545025033087659e+25,48,4.326602
-2.715643722885782e+25,48,4.373427
-8.520966686291073e+25,48,4.419545
-1.919331767319298e+25,48,4.466973
-7.021253414585728e+23,48,4.512797
-4.082606239642831e+24,48,4.55895
-9.896867750143836e+24,48,4.605857
-4.44395525252984e+24,48,4.6521
-7.432750797409012e+24,48,4.69943
-1.0662041493116052e+24,48,4.747666
-3.3236999600594016e+24,48,4.794937
-1.5250522856208765e+25,48,4.841587
