#{"t_start": 1722443081.6461415, "env_id": "None"}
r,l,t
-2.6281799709556484e+26,48,13.23642
-8.73568506068228e+26,48,13.272151
-1.448593328804578e+27,48,13.306494
-3.417358630291718e+27,48,13.340818
-4.8625868799133837e+27,48,13.383306
-1.5088914229714753e+27,48,13.421797
-4.286600596259908e+26,48,13.456111
-2.0186968492650236e+26,48,13.491484
-1.0532451056887465e+27,48,13.525632
-2.3013345232679952e+27,48,13.559064
-3.498412205841691e+27,48,13.593991
-9.680474642179939e+26,48,13.628368
-1.9306229380259402e+27,48,13.662522
-3.246524928661704e+26,48,13.698606
-2.5827616535777444e+26,48,13.732332
-4.420018782788095e+26,48,13.766065
-1.2979001547495845e+27,48,13.800906
-5.520776585990771e+26,48,13.834602
-3.2779977174588204e+26,48,13.86814
-1.2566958510551306e+27,48,13.903482
-1.2746435728751068e+26,48,13.93727
-2.413306239507841e+27,48,13.971148
-8.484741581142963e+26,48,14.006335
-6.36355146081072e+26,48,14.040722
-6.56973388610157e+26,48,14.074903
-4.0139209073166394e+27,48,14.109866
-2.889282631652723e+27,48,14.143332
-1.2968792818838211e+27,48,14.177101
-2.8456174071789133e+25,48,14.212667
-1.694282709842998e+27,48,14.247197
-3.556886613573645e+26,48,14.281276
-1.6959153828646975e+27,48,14.316988
-2.648913865157425e+27,48,14.350644
-1.269549426445967e+27,48,14.385922
-1.483181459417462e+27,48,14.420294
-9.499436491325485e+26,48,14.454858
-1.2961691950845263e+26,48,14.49138
-4.363969317348359e+26,48,14.525861
-6.495300438396445e+26,48,14.560132
-7.217091845535425e+26,48,14.596313
-5.4103390035889025e+26,48,14.630818
-8.977999367442676e+26,48,14.80908
-1.3252349800827351e+26,48,14.843608
-4.624016861275978e+26,48,14.877945
-3.1550586627000375e+26,48,14.913693
-2.656217845833938e+27,48,14.948184
-3.116394723472448e+27,48,14.98209
-2.234232676426843e+27,48,15.017375
-1.838540895314988e+26,48,15.051565
-1.8289556109057672e+27,48,15.085756
-1.768637998419688e+27,48,15.12114
-4.942213840913464e+26,48,15.155478
-1.2980008503908037e+26,48,15.189637
-1.8734102288042524e+27,48,15.22545
-1.7608999842635584e+26,48,15.259902
-3.4637741344137755e+26,48,15.293531
-2.3641949934096248e+25,48,15.329013
-1.2761521424029492e+26,48,15.363611
-2.127669039598485e+27,48,15.398998
-2.3058851479823754e+26,48,15.433558
-7.727407951005506e+26,48,15.468164
-1.8534666515875385e+27,48,15.503976
-2.1911416745882024e+27,48,15.539099
-2.2904252739627274e+27,48,15.573755
-9.123526921334571e+26,48,15.608911
-1.897408301829748e+26,48,15.643029
-1.01503287861476e+27,48,15.677253
-1.8756430968346637e+27,48,15.712751
-1.6387610797944677e+27,48,15.746837
-2.1075993240314046e+26,48,15.781197
-5.8638704867642896e+26,48,15.816857
-5.8176999141446274e+26,48,15.850944
-1.4047681024945923e+27,48,15.884702
-1.0404818498292781e+27,48,15.92019
-7.556892225001754e+26,64,16.216291
-6.0099347011463345e+26,48,16.250783
-1.486245544795317e+26,48,16.284562
-6.844836934773974e+26,48,16.31946
-2.1596114567782955e+27,48,16.353262
-7.211740336433977e+26,48,16.387096
-1.9264839642464257e+27,48,16.422354
-4.868923552426175e+26,48,16.456198
-3.957779495183561e+26,48,16.490314
