#{"t_start": 1722675385.274715, "env_id": "None"}
r,l,t
-1000.118281,48,0.038275
-1114.720916,48,0.067101
-1030.506338,48,0.095966
-1306.457544,48,0.125603
-1305.070797,48,0.155729
-892.295376,48,0.184503
-984.224391,48,0.214151
-1811.153487,48,0.242806
-1476.457087,48,0.272948
-977.812645,48,0.301741
-733.309659,48,0.331856
-991.464497,48,0.360436
-1665.270462,48,0.390428
-1331.157737,48,0.420249
-604.337454,48,0.448944
-1587.038227,48,0.477366
-1613.420664,48,0.507718
-1327.511086,48,0.537506
-1396.821088,48,0.566221
-1351.515192,48,0.594881
-1434.695244,48,0.625902
-1207.601359,48,0.909287
-669.131715,48,0.939884
-6749.76291,48,0.968731
-1127.996403,48,1.230176
-1572.646307,48,1.259062
-2035.561305,48,1.520978
-971.207501,48,1.550894
-899.24434,48,1.581159
-859.408497,48,1.838975
-606.213852,48,1.868295
-1403.606729,48,1.897001
-2292.633735,48,2.162326
-1755.815089,48,2.191112
-1643.115385,48,2.454575
-1744.195113,48,2.483436
-1580.686718,48,2.513895
-1701.764299,48,2.773208
-1460.612376,48,2.802437
-1296.741253,48,2.831212
-1586.571125,48,3.086128
-1811.649164,48,3.115425
-1735.336006,48,3.373986
-1569.075541,48,3.403006
-1682.558895,48,3.43342
-1447.501221,48,3.699417
-927.079349,48,3.728407
-1608.363712,48,3.758327
-2287.049397,48,4.019414
-2184.061856,48,4.048382
-1258.536316,48,4.309706
-1917.585823,48,4.338601
-1971.949889,48,4.37012
-1076.853783,48,4.633507
-1769.72267,48,4.663684
-1896.807955,48,4.692299
-1664.391128,48,4.950839
-5931.737973,48,4.98092
-2109.484896,48,5.238225
-2186.051649,48,5.268243
-1964.603177,48,5.298717
-1087.816273,48,5.557714
-375.519601,48,5.587583
-998.649425,48,5.616092
-2198.178289,48,5.874208
-2248.653186,48,5.903082
-1321.012898,48,6.158472
-932.219217,48,6.188569
-885.859228,48,6.219075
-740.657394,48,6.480596
-901.271684,48,6.509809
-6765.393582,48,6.53858
-1646.403744,48,6.797868
-1006.92886,48,6.826726
-1027.767227,48,7.086405
-899.570994,48,7.115219
-865.609267,48,7.145599
-913.23081,48,7.412749
-1750.646166,48,7.442196
-1779.598199,48,7.471669
-1079.466881,48,7.732112
-1442.33664,48,7.761029
-2548.660159,48,8.029011
-1730.123662,48,8.057893
-1548.022481,48,8.088372
-598.920225,48,8.348766
-1269.799178,48,8.377749
-923.740287,48,8.407486
-2202.288477,48,8.669893
-939.505853,48,8.699806
-820.554155,48,8.972334
-1432.97886,48,9.000942
-2045.44781,48,9.032779
-1469.607545,48,9.294258
-1759.955443,48,9.324549
-1585.025251,48,9.353457
-1732.785921,48,9.612229
-847.089994,48,9.641104
-1402.378607,48,9.89907
-1922.932306,48,9.929048
-1181.077073,48,9.960147
-1264.751486,48,10.217936
-986.419268,48,10.247186
-1294.947601,48,10.275865
-746.265755,48,10.535915
-3105.215451,48,10.564815
-1051.597436,48,10.821221
-1686.169627,48,10.850585
-1473.780121,48,10.880983
-933.972104,48,11.143154
-1542.016229,48,11.172312
-1233.543618,48,11.200938
-1612.557653,48,11.459722
-1284.979361,48,11.48854
-1085.705545,48,11.743211
-853.08419,48,11.772311
-1032.277553,48,11.802615
-767.733641,48,12.072756
-1146.168741,48,12.101621
-1713.635744,48,12.130469
-802.307925,48,12.387324
-1282.129112,48,12.416142
-1471.643856,48,12.675371
-1241.619977,48,12.704297
-1349.002409,48,12.734986
-692.890381,48,12.997891
-890.579494,48,13.026771
-1170.509936,48,13.056875
-587.193153,48,13.317859
-1823.182096,48,13.34792
-1121.389282,48,13.612372
-940.393578,48,13.641238
-1788.992084,48,13.673001
-900.900479,48,13.929932
-592.700513,48,13.960415
-941.830061,48,13.989674
-1866.317022,48,14.252467
-878.636042,48,14.282528
-898.791862,48,14.547591
-1690.344948,48,14.577813
-558.05038,48,14.608245
-794.038312,48,14.866425
-556.45509,48,14.895821
-1540.927453,48,14.924502
-1194.181056,48,15.18375
-1058.509867,48,15.212655
-1063.820713,48,15.469587
-625.131076,48,15.49873
-691.277908,48,15.529221
-478.178222,48,15.785752
-1338.007561,48,15.814834
-674.976909,48,15.843704
-616.802808,48,16.102627
-718.906436,48,16.131462
-1017.280865,48,16.396167
-773.478712,48,16.425042
-600.212238,48,16.455567
-1147.40619,48,16.713577
-1116.95904,48,16.742488
-809.111723,48,16.771358
-738.385041,48,17.027678
-914.747022,48,17.056715
-1433.457961,48,17.319548
-1266.189123,48,17.348539
-661.761049,48,17.378981
-1150.016775,48,17.635812
-1898.573616,48,17.664773
-1014.767046,48,17.694588
-404.318046,48,17.955044
-977.726807,48,17.984959
-1112.709763,48,18.251636
-615.754551,48,18.280581
-937.363919,48,18.31243
-653.799274,48,18.575705
-974.511165,48,18.605733
-709.955997,48,18.63475
-776.336912,48,18.900783
-930.81876,48,18.93083
-969.187357,48,19.202671
-650.917593,48,19.232758
-591.015173,48,19.263151
-1413.155065,48,19.520491
-634.871708,48,19.549766
-365.092377,48,19.578498
-2290.086439,48,19.836404
-1738.957393,48,19.865407
-1055.301255,48,20.126983
-1077.64638,48,20.15607
-4761.702551,48,20.186504
-355.535274,48,20.443188
-676.319658,48,20.472222
-1109.452748,48,20.500896
-1003.898774,48,20.756166
-1273.107193,48,20.785095
-825.959738,48,21.050923
-1463.122736,48,21.07988
-868.425296,48,21.110367
-620.186784,48,21.376953
-627.01742,48,21.406263
-575.311669,48,21.436092
-1239.273387,48,21.700517
-666.092668,48,21.729445
-460.066038,48,21.997768
-983.361199,48,22.026638
-1023.191356,48,22.058124
-1387.50991,48,22.324427
-546.666094,48,22.354774
-477.913457,48,22.383635
-918.592752,64,22.906769
-319.389992,48,22.935925
-956.881852,48,23.193187
-1620.899814,48,23.222268
-772.106524,48,23.253863
-741.543894,48,23.511139
-893.895682,48,23.540154
-752.892642,48,23.802344
-3554.366735,48,23.833177
-603.95482,48,23.863305
-865.485283,48,24.121294
-567.259622,48,24.150379
-1164.520306,48,24.181953
-999.082657,48,24.457227
-505.636582,48,24.487469
-1161.826572,48,24.753148
-1277.866073,48,24.785287
-1122.297195,48,24.81458
-915.931651,48,25.07451
-564.28061,48,25.104058
-679.347637,48,25.134541
-946.152497,48,25.396685
-904.964014,48,25.425646
-841.641453,48,25.691092
-1146.146236,48,25.722133
-1072.078211,48,25.751191
-1069.565066,48,26.013895
-771.975796,48,26.042859
-424.216769,48,26.07346
-673.147794,48,26.328887
-1099.121699,48,26.358055
-724.285216,48,26.620512
-863.787668,48,26.651194
-756.658591,48,26.680339
-927.970971,48,26.949183
-1001.411393,48,26.978407
-1198.089797,48,27.010917
-1436.763915,48,27.282562
-729.731596,48,27.312861
-917.566843,48,27.570395
-1164.845634,48,27.602012
-395.405967,48,27.630925
-872.510911,48,27.88834
-659.870694,48,27.919078
-588.699144,48,27.956511
-482.102917,48,28.217196
-933.621875,48,28.246135
-506.577225,48,28.505281
-583.546468,48,28.536306
-1280.591853,48,28.565397
-873.945747,48,28.828853
-692.158847,48,28.858098
-1142.9305,48,28.888628
-943.749038,48,29.144536
-826.441814,48,29.173666
-1186.653201,48,29.429123
-745.094742,48,29.459703
-690.007044,48,29.488649
-478.130423,48,29.747528
-1075.404414,48,29.776746
-487.856166,48,29.80746
-326.880713,48,30.071111
-711.62944,48,30.10025
-380.679305,48,30.355649
-763.419012,48,30.386216
-383.669912,48,30.415333
-1023.513503,48,30.676522
-1003.017958,48,30.70556
-914.950541,48,30.737313
-513.373552,48,31.011674
-526.047086,48,31.042058
-796.969864,48,31.304203
-635.443643,48,31.336067
-1110.853661,48,31.365238
-825.056406,48,31.62361
-731.89128,48,31.653791
-631.878556,48,31.684497
-924.925133,48,31.960087
-1851.914598,48,31.989249
-925.767969,48,32.2456
-1249.733725,48,32.276689
-1285.995958,48,32.30589
-482.201822,48,32.5615
-822.251524,48,32.590649
-1231.075014,48,32.621106
-861.582823,48,32.881967
-817.34191,48,32.910888
-1168.599523,48,33.166691
-851.992595,48,33.1975
-768.854029,48,33.226409
-1229.571227,48,33.481282
-257.091474,48,33.510452
-1346.350117,48,33.540928
-863.198581,48,33.799129
-1395.572339,48,33.8282
-662.232374,48,34.086084
-923.362581,48,34.116956
-845.959001,48,34.14596
-1009.101374,48,34.414016
-623.862475,48,34.443096
-1030.951439,48,34.474864
-4406.484923,48,34.737806
-982.109749,48,34.768118
-509.236416,48,35.030433
-534.854922,48,35.061088
-840.052465,48,35.091083
-1168.7626,48,35.35173
-597.507108,48,35.38181
-979.256338,48,35.412388
-1245.943699,48,35.671753
-972.134455,48,35.701942
-1173.67995,48,35.959725
-663.067734,48,35.991305
-818.535834,48,36.020949
-853.947691,48,36.282099
-1312.276325,48,36.311532
-411.886741,48,36.341998
-752.048251,48,36.598938
-678.959398,48,36.627919
-1316.058294,48,36.886025
-1101.559209,48,36.917583
-1111.023911,48,36.946427
-689.567637,48,37.223222
-1344.03541,48,37.252152
-1380.009641,48,37.28248
-476.578832,48,37.545214
-757.343984,48,37.574152
-947.660949,48,37.836515
-1178.606529,48,37.867475
-580.440598,48,37.896443
-853.50723,48,38.166788
-1281.733854,48,38.195957
-949.446312,48,38.227846
-1240.237598,48,38.489615
-648.967658,48,38.519618
-925.535299,48,38.778289
-418.06878,48,38.809875
-1064.694049,48,38.838971
-473.471718,48,39.099063
-858.573213,48,39.12955
-865.001096,48,39.160142
-743.565291,48,39.424722
-1767.446911,48,39.453764
-631.769306,48,39.711361
-813.484851,48,39.743246
-1616.20893,48,39.772628
-744.81757,48,40.034079
-1464.557413,48,40.063584
-678.602459,48,40.09409
-728.438857,48,40.355105
-3460.029375,48,40.38431
-1193.307805,48,40.6397
-715.542273,48,40.670294
-690.912275,48,40.699265
-434.521254,48,40.959629
-359.939996,48,40.988739
-948.0247,48,41.019406
-1432.034156,48,41.277913
-910.70899,48,41.306889
-531.397068,48,41.565889
-922.837034,48,41.596418
-783.451757,48,41.62534
-450.672164,48,41.899651
-825.36551,48,41.928638
-729.217503,48,41.960352
-1536.457973,48,42.223591
-725.707208,48,42.253751
-466.511417,48,42.513136
-975.945867,48,42.543779
-986.881072,48,42.573896
-587.517469,48,42.833879
-576.667928,48,42.864386
-908.229731,48,42.894947
-620.963249,48,43.157204
-1223.847976,48,43.186372
-432.511894,48,43.443583
-890.251363,48,43.475489
-990.948088,48,43.50452
-626.333234,48,43.762239
-631.037556,48,43.791911
-1057.582939,48,43.82251
-1725.027983,48,44.082037
-1476.94155,48,44.111071
-756.90487,48,44.369056
-696.443026,48,44.399864
-934.420115,48,44.42906
-1212.420377,48,44.688542
-865.561193,48,44.717762
-1434.161972,48,44.748416
-827.877681,48,45.009858
-779.952015,48,45.039534
-1980.976816,48,45.302788
-1182.925178,48,45.333576
-794.808167,48,45.362726
-757.160572,48,45.617936
-791.469454,48,45.647017
-456.022014,48,45.67866
-577.794025,48,45.933598
-740.103333,48,45.962595
-1199.698019,48,46.224245
-1062.466559,48,46.255244
-742.186057,48,46.285144
-1492.144183,48,46.545203
-530.457508,48,46.574152
-895.121176,48,46.60588
-1051.152891,48,46.86587
-1271.285662,48,46.896042
-1241.15724,48,47.157383
-1248.183485,64,47.451871
-723.455974,48,47.480713
-433.075786,48,47.744604
-1050.499878,48,47.773672
-537.617133,48,48.030258
-648.687512,48,48.060113
-938.728003,48,48.08901
-560.682884,48,48.349065
-856.712335,48,48.379887
-701.017828,48,48.409782
-920.221105,48,48.671444
-753.389205,48,48.700636
-621.726663,48,48.961827
-538.789732,48,48.990869
-930.863226,48,49.020844
-1178.389916,48,49.283429
-654.45093,48,49.322085
-997.933327,48,49.351024
-790.165121,48,49.614207
-915.382238,48,49.644244
-1167.774944,48,49.904026
-1217.481181,48,49.934205
-768.684294,48,49.963161
-1463.056514,48,50.221776
-989.833142,48,50.253669
-832.938273,48,50.282548
-1510.179363,48,50.549356
-729.787473,48,50.578419
-688.803724,48,50.840028
-944.898711,48,50.869281
-689.352684,48,50.898316
-682.711835,48,51.159506
-730.351235,48,51.190351
-912.966073,48,51.219268
-1101.22972,48,51.477592
-1211.486275,48,51.506635
-509.329733,48,51.765023
-1098.911242,48,51.794275
-1515.270117,48,51.823314
-700.60169,48,52.086074
-456.851125,48,52.116815
-712.113711,48,52.14667
-526.419055,48,52.41944
-622.631651,48,52.449612
-393.114458,48,52.714625
-750.916121,48,52.743816
-708.416624,48,52.774131
-821.96717,48,53.035782
-1364.758213,48,53.068334
-997.550935,48,53.097264
-1211.454957,48,53.354099
-948.168548,48,53.384375
-596.867115,48,53.643252
-822.490272,48,53.673334
-824.807964,48,53.702357
-605.479345,48,53.964601
-435.757857,48,53.995248
-641.035829,48,54.023978
-1134.367911,48,54.303537
-800.633825,48,54.332618
-1098.427752,48,54.597685
-970.215209,48,54.626834
-561.541996,48,54.655778
-868.696863,48,54.914767
-413.021974,48,54.945649
-833.59193,48,54.975579
-855.836737,48,55.231288
-799.767827,48,55.260324
-1203.605937,48,55.517114
-512.95444,48,55.546328
-504.447223,48,55.575339
-781.722406,48,55.840613
-1210.066819,48,55.871321
-617.17292,48,55.901182
-1298.172207,48,56.165088
-524.878415,48,56.195353
-403.758922,48,56.458104
