#{"t_start": 1722449809.196346, "env_id": "None"}
r,l,t
-146728428820827.22,48,50.046566
-121830912664110.19,48,50.317025
-1186736682982045.8,48,50.59219
-398527946646882.9,48,50.866862
-2105025650421619.0,48,51.146899
-6368527163017488.0,48,51.417801
-2601805785498965.0,48,51.695113
-1365625763433494.0,48,51.966813
-583649681177148.2,48,52.233168
-856207634522568.2,48,52.504055
-433657053057803.06,48,52.773131
-396009769121732.75,48,53.044476
-760966689559529.9,48,53.310466
-2287486128940171.0,48,53.581338
-144042404728164.53,48,53.859334
-1026969608757082.9,48,54.130437
-554029465522683.6,48,54.401858
-659928938386559.5,48,54.671674
-499560996166464.9,48,54.942482
-12594824947000.816,48,55.222968
-34899655322567.54,48,55.486485
-2214903140865728.2,48,55.762491
-5320428499561983.0,48,56.030137
-4466954400785592.5,48,56.315147
-1210322903029092.8,48,56.586054
-849509620108538.5,48,56.855962
-102889510752306.8,64,57.41232
-183704021467146.78,48,57.688159
-406442391368060.5,48,57.962487
-503205189504245.1,48,58.238451
-1193475498457.0857,48,58.534593
-1143460215539892.2,48,58.8195
-384218838668033.3,48,59.102976
-21684301329599.62,48,59.371337
-157245734057640.25,48,59.641238
-1147533443580530.0,48,59.910378
-10041523636896.021,48,60.189314
-1631718433478527.5,48,60.456383
-488402261762045.2,48,60.731044
-377756078778824.5,48,61.000112
-1350295192622584.5,48,61.283513
-960334143516986.5,48,61.554368
-301240733158779.9,48,61.835352
-937779600245179.0,48,62.125049
-4776890279642737.0,48,62.406422
-1790276317746712.0,48,62.680575
-262134768108765.44,48,62.958801
-43986645481737.39,48,63.232469
-233134530150904.97,48,63.501266
-540258041803784.7,48,63.770415
-300580418516071.0,48,64.040639
-2636964626772619.0,48,64.307024
-125410212049807.02,48,64.570538
-1513418098716359.8,48,64.836342
-177890970546770.47,48,65.106879
-252077769816997.25,48,65.37199
-109061920996060.1,48,65.63747
-1879262778914335.0,48,65.912375
-507849379588190.4,48,66.187721
-806882465758069.8,48,66.45683
-153911256664827.25,48,66.746418
