#{"t_start": 1722594012.6342652, "env_id": "None"}
r,l,t
-1197.49859,48,0.039623
-2007.218312,48,0.069629
-2282.355975,48,0.098864
-1405.612626,48,0.128983
-1933.041345,48,0.159492
-1505.685952,48,0.188956
-1295.983169,48,0.219319
-1119.570886,48,0.248728
-1451.048025,48,0.279213
-1398.195366,48,0.308038
-1415.569182,48,0.337938
-1029.546413,48,0.366439
-1442.392277,48,0.396657
-1654.805946,48,0.426639
-1780.053699,48,0.455802
-1185.916345,48,0.484432
-1225.058718,48,0.51589
-1647.078236,48,0.544573
-1414.899828,48,0.573503
-2644.850627,48,0.602181
-2185.503652,48,0.633722
-2286.101795,48,0.910284
-1745.609714,48,0.940543
-2051.002487,48,0.96915
-1755.690375,48,1.252232
-1222.559826,48,1.281438
-2245.439673,48,1.540412
-1441.92629,48,1.569709
-2479.56539,48,1.600577
-1031.20738,48,1.858459
-8482.442254,48,1.887645
-1840.158978,48,1.916469
-2244.648904,48,2.191794
-1171.52926,48,2.220768
-3035.445194,48,2.48833
-1817.528955,48,2.517117
-1714.618023,48,2.548904
-9153.28742,48,2.825814
-1630.966616,48,2.855918
-2354.883191,48,2.884611
-1975.114018,48,3.148853
-1491.945087,48,3.177967
-1906.97394,48,3.435733
-1482.012385,48,3.466219
-2598.743857,48,3.496792
-1542.372036,48,3.756824
-5054.404793,48,3.785802
-1754.742941,48,3.814912
-1296.363178,48,4.075203
-1621.344697,48,4.104459
-1357.454066,48,4.367903
-1941.30549,48,4.396861
-1838.252336,48,4.42736
-822.881087,48,4.702629
-6483.126887,48,4.731997
-719.064845,48,4.762005
-1515.273656,48,5.02391
-1821.31289,48,5.052767
-1090.533203,48,5.318815
-2029.964878,48,5.347931
-983.36838,48,5.380091
-1015.841155,48,5.666449
-1259.93271,48,5.696975
-4851.690252,48,5.725776
-1081.497784,48,5.989523
-1128.582796,48,6.018438
-809.205385,48,6.289367
-1722.242192,48,6.318186
-1082.773197,48,6.348632
-1338.196611,48,6.61787
-1940.825497,48,6.647339
-5423.766668,48,6.676043
-1784.334881,48,6.934586
-2015.013154,48,6.963849
-3064.729113,48,7.219829
-1326.524041,48,7.248917
-1833.586953,48,7.27962
-2469.024471,48,7.53651
-2745.425749,48,7.565336
-2582.525344,48,7.595161
-1716.921372,48,7.862032
-1890.630079,48,7.891417
-1581.258682,48,8.153425
-2074.779474,48,8.182494
-1201.271749,48,8.214265
-1291.623559,48,8.487626
-1650.02332,48,8.5182
-1229.323581,48,8.546929
-592.570665,48,8.838922
-988.312014,48,8.868765
-1136.147475,48,9.144108
-1283.926506,48,9.173007
-912.89224,48,9.204146
-1976.480661,48,9.462524
-612.614372,48,9.491492
-907.310165,48,9.52144
-936.296902,48,9.798898
-1072.996193,48,9.828929
-1259.871738,48,10.102352
-1451.92679,48,10.132456
-2249.066539,48,10.16297
-1777.217575,48,10.434622
-1052.897899,48,10.463563
-1108.278058,48,10.492161
-1180.487668,48,10.761032
-1529.017374,48,10.789986
-2240.450816,48,11.04785
-1829.372304,48,11.077041
-1353.401253,48,11.108306
-1313.397124,48,11.36577
-2875.127748,48,11.394729
-1163.596401,48,11.423942
-911.197882,48,11.702926
-1442.087269,48,11.731825
-677.305485,48,12.019345
-931.298072,48,12.049485
-978.04561,48,12.080266
-1469.333822,48,12.349075
-1849.09975,48,12.378003
-1139.26795,48,12.406609
-2199.931482,48,12.683427
-1268.902384,48,12.712339
-1206.933039,48,12.971299
-1122.610456,48,13.000854
-995.075388,48,13.031575
-1218.950006,48,13.300645
-926.503495,48,13.329533
-933.215811,48,13.359207
-1229.32632,48,13.623044
-1892.520164,48,13.652443
-2106.224231,48,13.915305
-2625.000108,48,13.944307
-1293.768176,48,13.975776
-1575.638747,48,14.237743
-1226.203203,48,14.267811
-2272.906521,48,14.296597
-1270.007226,48,14.560947
-1559.74216,48,14.591086
-1680.75078,48,14.85354
-1169.192823,48,14.884018
-1900.083186,48,14.914492
-1113.140835,48,15.175176
-1159.01507,48,15.204108
-5420.669326,48,15.233279
-1361.040743,48,15.495969
-861.428575,48,15.524968
-753.527964,48,15.783831
-1929.026668,48,15.813056
-1463.312159,48,15.843485
-1049.986495,48,16.108051
-639.008766,48,16.137776
-1004.324756,48,16.166458
-1213.500506,48,16.427784
-1223.126929,48,16.456587
-1175.077647,48,16.723037
-1009.411431,48,16.751952
-1152.086164,48,16.782416
-1321.490095,48,17.048132
-1089.430821,48,17.077008
-1431.741133,48,17.107728
-1056.926679,48,17.386338
-1246.66839,48,17.416483
-787.094592,48,17.68534
-1274.51058,48,17.715696
-626.3087,48,17.746276
-1228.388048,48,18.018283
-931.059425,48,18.047366
-1142.284323,48,18.075963
-918.226814,48,18.341401
-1779.844177,48,18.370542
-840.715074,48,18.630549
-546.656789,48,18.65959
-922.141336,48,18.690173
-737.815334,48,18.948677
-869.187372,48,18.977495
-978.695309,48,19.006284
-1434.894984,48,19.265401
-777.921782,48,19.294293
-1030.4317,48,19.55179
-1032.77697,48,19.580453
-1068.533076,48,19.610973
-873.226734,48,19.878688
-1026.578512,48,19.907434
-948.73699,48,19.937424
-1230.949665,48,20.204563
-1011.349332,48,20.23473
-1089.160925,48,20.495648
