#{"t_start": 1722489592.0133984, "env_id": "None"}
r,l,t
-7535776500244624.0,48,0.050597
-2.016476491586682e+16,48,0.095264
-2.0183770663408932e+16,48,0.141136
-2.4032195088596436e+16,48,0.185997
-1.9289501532609564e+16,48,0.23206
-1.6053516736965144e+16,48,0.276967
-3.0487087951196076e+16,48,0.323374
-2.9271274231635396e+16,48,0.367848
-2.8793817032659564e+16,48,0.413424
-2.439721971095927e+16,48,0.458191
-2.5435235606463596e+16,48,0.50296
-3.059217198043785e+16,48,0.548726
-2.6615824449717508e+16,48,0.594041
-2.9442421861638316e+16,48,0.640232
-2.4426610289325416e+16,48,0.684939
-2.3326707535065004e+16,48,0.730973
-1.8840951212525924e+16,48,0.778019
-1.907559350929421e+16,48,0.823823
-2.605523904318176e+16,48,0.868618
-2.770762343862531e+16,48,0.91325
-2.434260816267645e+16,48,0.95954
-7300994979193590.0,48,1.004821
-2.1670836680863396e+16,48,1.050954
-3.715403348086078e+16,48,1.096004
-1.894873278131322e+16,48,1.142136
-2.5096794365042956e+16,48,1.186803
-1.7179560144744852e+16,48,1.23232
-2.8434737878612068e+16,48,1.277363
-8902274631292277.0,48,1.322827
-2.9526441715881784e+16,48,1.367541
-1.879925508113794e+16,48,1.411725
-2.8286357284418036e+16,48,1.457767
-1.1697695038548064e+16,48,1.502853
-1.360936963371173e+16,48,1.550566
-2.4973929983674216e+16,48,1.595694
-1.3133190262128546e+16,48,1.642058
-8051724770717154.0,48,1.68711
-1.3104145594290484e+16,48,1.732972
-7667209496711606.0,48,1.778171
-1.3148299022383034e+16,48,1.822324
-1.707916386799516e+16,48,1.86824
-1.2753427111230866e+16,48,1.912632
-6399998886524222.0,48,1.958651
-6400177712793764.0,48,2.003256
-6399999134740943.0,48,2.048958
-7230746006744253.0,48,2.093934
-9419886656536640.0,48,2.139932
-6399999202678483.0,48,2.18436
-6399999342514074.0,48,2.229019
-1.258326505842495e+16,48,2.275133
-1.5332344935669506e+16,48,2.321679
-6399999444744994.0,48,2.367557
-8168531445486247.0,48,2.412249
-2.3824031875224492e+16,48,2.457932
-7582350500445892.0,48,2.502916
-6399999048266928.0,48,2.549127
-6399998590247534.0,48,2.594981
-6399999607900971.0,48,2.641533
-6399999020226034.0,48,2.686823
-6399999154892273.0,48,2.731653
-6399998404991268.0,48,2.778195
-6399998919044720.0,48,2.823337
-6399999202678483.0,48,2.86969
-6452790148759493.0,48,2.914987
-6399999229376497.0,48,2.96067
-6399998699873350.0,48,3.004614
-6531707453213384.0,48,3.052196
-6399998834484712.0,48,3.096818
-6538782303425728.0,48,3.141449
-6399999155111715.0,48,3.187672
-6401546391158340.0,48,3.233031
-6399999239729764.0,48,3.283006
-6537427244308057.0,48,3.330919
-6399999473940908.0,48,3.377612
-6399999037416272.0,48,3.423186
-6399998509692939.0,48,3.470024
-6399998482266531.0,48,3.515621
-1.0032428743396188e+16,48,3.568415
-6399999021831056.0,48,3.617795
-6399998131287620.0,48,3.665095
-6399998426230683.0,48,3.710799
-6399998509971772.0,48,3.757446
-6399998503955840.0,48,3.802042
-6399999412522301.0,48,3.848565
-6399999139191505.0,48,3.895349
-6399999084177199.0,48,3.940054
-6399999495503592.0,48,3.985832
-6399999314381506.0,48,4.030495
-6399999006567492.0,48,4.076776
-6399999162844908.0,48,4.121651
-6399999072230090.0,48,4.168033
-6411334099823244.0,48,4.213124
-6399998501852441.0,48,4.259138
-6399999558398191.0,48,4.304098
-6399999437877077.0,48,4.348327
-6399998738678511.0,48,4.393986
-6808674722733860.0,48,4.438607
-6399999037416275.0,48,4.48489
-6399999006567492.0,48,4.529431
-6427216147225853.0,48,4.575283
-6399998682352916.0,48,4.622062
-6413122333884430.0,48,4.66886
-7495516272784645.0,48,4.714655
-6428676589229950.0,48,4.759922
-6399999020226034.0,48,4.807138
-8298238256616542.0,48,4.853023
-7650615307769636.0,48,4.900251
-6399998770960507.0,48,4.946508
-6399998724833492.0,48,4.993439
-6399998845948245.0,48,5.039789
-6399998523618730.0,48,5.087737
-6399998423231462.0,48,5.133891
-6399999188723964.0,48,5.180624
-6399999487619088.0,48,5.22657
-6399999412391805.0,48,5.273929
-6401184894604511.0,48,5.319886
-6399999366380982.0,48,5.367561
-6399998940624334.0,48,5.414353
-6399999278896182.0,48,5.45973
-6399999517244062.0,48,5.506791
-6399998639065751.0,48,5.552548
-6399998308380622.0,48,5.59971
-6399999086593425.0,48,5.64546
-6399998840347838.0,48,5.693112
-6399999027885338.0,48,5.738808
-6399999026860365.0,48,5.785501
-6399998548840966.0,48,5.831393
-6399999349126652.0,48,5.877938
-6399998589477951.0,48,5.923845
-6399999614498630.0,48,5.969651
-6401422465272663.0,48,6.016833
-6399999630199249.0,48,6.062446
-6399998685069949.0,48,6.109507
-6399998743787897.0,48,6.15718
-6399998692765384.0,48,6.204694
-6399999134740943.0,48,6.250892
-6399998895703359.0,48,6.297992
-6399999060683814.0,48,6.343829
-6399998845948245.0,48,6.390779
-6399998593505426.0,48,6.436372
-6399999020226550.0,48,6.482054
-6399999412522296.0,48,6.529513
-6399999186962483.0,48,6.575525
-6399998329143000.0,48,6.625043
-6399999086593425.0,48,6.67313
-6399999366678975.0,48,6.719863
-6399998995100121.0,48,6.765555
-6443389542779212.0,48,6.812148
-6399999283600386.0,48,6.858296
-6399999590997046.0,48,6.909558
-6399998838434397.0,48,6.962138
-6399999156099759.0,48,7.014172
-6399999163451202.0,48,7.061448
-6399998735477208.0,48,7.109334
-6399999528388377.0,48,7.156214
-6399999109909901.0,48,7.203657
-6399998328186201.0,48,7.250314
-6399998674024614.0,48,7.298277
-6399998553689164.0,48,7.344979
-6399999355028525.0,48,7.391719
-6399999361134231.0,48,7.439675
-6399999733648897.0,48,7.486259
-6399998429214553.0,48,7.534207
-6399998944342676.0,48,7.580891
-6399998471965199.0,48,7.628926
-6399999153246186.0,48,7.675615
-6399999284946572.0,48,7.724864
-6399999063112862.0,48,7.77158
-6399999139830240.0,48,7.818359
-6399998335739997.0,48,7.864647
-6399998316609903.0,48,7.911645
-6399998902337589.0,48,7.957049
-6399998703900397.0,48,8.003544
-6399999234161152.0,48,8.048995
-6399999624928566.0,48,8.094373
-6399998375691196.0,48,8.141026
-6399998771917759.0,48,8.188226
-6399998793364990.0,48,8.236086
-6399999060686128.0,48,8.282067
-6399998220463179.0,48,8.330065
-6399999632953740.0,48,8.376595
-6399999204652832.0,48,8.424193
-6399998840948331.0,48,8.469759
-6399998819433216.0,48,8.519019
-6399998426214971.0,48,8.565081
-6403720964355918.0,48,8.612527
-6399999008266918.0,48,8.658855
-6399999415805032.0,48,8.704807
-6848418377812219.0,48,8.750969
-6399999037931008.0,48,8.795865
-6399998735054511.0,48,8.842115
-6399999202678483.0,48,8.886917
-6399999163103187.0,48,8.932964
-6399998912609180.0,48,8.978584
-6399998911409205.0,48,9.025157
-6399998600733128.0,48,9.070921
-6399998834746080.0,48,9.117398
-6399998757261960.0,48,9.163114
-6399998622084490.0,48,9.208769
-6399998815222360.0,48,9.255628
-6399998889421738.0,48,9.303293
-6399998952452653.0,48,9.349919
-6399998935118115.0,48,9.395935
-6399998215450021.0,48,9.442568
-6399999226981396.0,48,9.488545
-6399999254554123.0,48,9.534793
-6399998667980003.0,48,9.580827
-6399998736364988.0,48,9.627526
-1.0635866570383908e+16,64,9.943079
-6399998418055330.0,48,9.988543
-6399999172694920.0,48,10.034631
-6399999202599082.0,48,10.079929
-6399998746422624.0,48,10.125456
-6399999054098795.0,48,10.172205
-6399999163103187.0,48,10.217455
-6399999277261742.0,48,10.264054
-6399999027683544.0,48,10.311795
-6399998965233488.0,48,10.358839
-6399998696902988.0,48,10.404384
-6399999473434088.0,48,10.450885
-6399998520458996.0,48,10.496692
-6399998641180692.0,48,10.543433
-6399998202441658.0,48,10.588758
-6399999361134231.0,48,10.633892
-6399998778627701.0,48,10.680857
-6399999032618281.0,48,10.726543
-6399998912609177.0,48,10.773633
-6399999656386700.0,48,10.819169
-6399999046183786.0,48,10.865797
-6399998262854297.0,48,10.911494
-6399999339643082.0,48,10.957742
-6399998814839780.0,48,11.003518
-6399999598492156.0,48,11.050508
-6399998351221238.0,48,11.09834
-6399998767855723.0,48,11.145292
-6399999583792021.0,48,11.190827
-6399998818707113.0,48,11.236179
-6399999463506048.0,48,11.282491
-6399999730888319.0,48,11.32832
-6399998861095088.0,48,11.37526
-6399998640646209.0,48,11.420426
-6399998736364988.0,48,11.467945
-6399998834924019.0,48,11.513718
-6399998946725199.0,48,11.560727
-6399998717968586.0,48,11.606691
-6399999084177199.0,48,11.653508
-6399998772091213.0,48,11.699654
-6399998908549394.0,48,11.745569
-6399999027885494.0,48,11.792729
-6399998925544104.0,48,11.839307
-6399998705159574.0,48,11.885997
-6399999199064536.0,48,11.931484
-6399998672214646.0,48,11.97832
-6399998454813303.0,48,12.023789
-6399998984150098.0,48,12.070716
-6399999006567492.0,48,12.116305
-6399998895897030.0,48,12.163121
-6399998599243010.0,48,12.209246
-6399998751816393.0,48,12.255733
-6399998220463178.0,48,12.301631
-6399999138831132.0,48,12.347183
-6399999014407414.0,48,12.394176
-6399999159065282.0,48,12.439922
-6399998474149432.0,48,12.48641
-6399999228589286.0,48,12.531853
-6399998999553648.0,48,12.578585
-6399998207664350.0,48,12.625955
-6399998900363281.0,48,12.673173
-6399998838434203.0,48,12.719179
-6399998410860186.0,48,12.765156
-6399998617548358.0,48,12.812817
-6399998679511312.0,48,12.858924
-6399998316680941.0,48,12.906192
-6399998832724560.0,48,12.952442
-6399998941147903.0,48,13.000209
-7746547576677652.0,48,13.047016
-6399998553844664.0,48,13.094653
-6399998404990919.0,48,13.140676
-6399999179269089.0,48,13.188256
-6399998209300727.0,48,13.234113
-6399999276296194.0,48,13.280522
-6399998926940643.0,48,13.326014
-6399998919044716.0,48,13.372657
-6399998991855247.0,48,13.420464
-6399998413451443.0,48,13.466225
-6399998926801374.0,48,13.51294
-6399999414174074.0,48,13.558399
-6399998982053027.0,48,13.605521
-6399999442192533.0,48,13.651323
-6399999495503592.0,48,13.698161
-6399999008266921.0,48,13.743893
-6399999545815505.0,48,13.791048
