#{"t_start": 1722593280.9480517, "env_id": "None"}
r,l,t
-1093.895768,48,0.486531
-4537.598359,48,0.518518
-1704.032705,48,0.549809
-2528.066611,48,0.582064
-1727.122577,48,0.613072
-3070.086084,48,0.644069
-1034.289868,48,0.675323
-1318.059405,48,0.70732
-1527.049107,48,0.738762
-2161.975791,48,0.770136
-4257.323279,48,0.80254
-2202.896219,48,0.833465
-3973.880156,48,0.864652
-1269.30996,48,0.896867
-1224.20656,48,0.92835
-1328.751813,48,0.95943
-2184.74512,48,0.992604
-1063.431859,48,1.023721
-1898.571121,48,1.054659
-1319.375243,48,1.08666
-1219.822401,48,1.117858
-2404.663121,48,1.149189
-1433.652195,48,1.180443
-1137.165873,48,1.21305
-1508.249996,48,1.244198
-1246.551969,48,1.275213
-1673.566346,48,1.3074
-1542.45804,48,1.338597
-1667.841413,48,1.369563
-1824.286284,48,1.401714
-1721.226714,48,1.432576
-2027.413901,48,1.463503
-1925.569629,48,1.495644
-3003.211676,48,1.527113
-2038.747983,48,1.558271
-1939.471535,48,1.590435
-1265.020666,48,1.62136
-4594.763437,48,1.652379
-2471.335254,48,1.683373
-1776.731964,48,1.715229
-3711.678857,48,1.746654
-1255.54502,48,1.777972
-2973.639029,48,2.17538
-7073.470437,48,2.207825
-1952.951489,48,2.239107
-4440.598677,48,2.270416
-1360.03894,48,2.303046
-1320.6867,48,2.334608
-5258.576248,48,2.366057
-1284.993858,48,2.398757
-2246.128714,48,2.430179
-1434.112897,48,2.461363
-7760.849379,48,2.492679
-2586.360462,48,2.525368
-1631.868103,48,2.557384
-1371.40381,48,2.588795
-1958.710764,48,2.621567
-1959.064634,48,2.653117
-1774.89294,48,2.684584
-1306.907274,48,2.71705
-1596.507987,48,2.748797
-1359.353652,48,2.780278
-1665.24404,48,2.812904
-1699.122482,48,2.844105
-2502.424521,48,2.875631
-1297.426877,48,2.908009
-1409.943449,48,2.9398
-1762.127771,48,2.971392
-975.145325,48,3.004811
-1380.136917,48,3.036382
-1896.754278,48,3.067847
-1308.141127,48,3.099215
-1452.419833,48,3.131802
-3809.293815,48,3.163885
-1396.890802,48,3.195428
-1728.269033,48,3.227796
-6414.627006,48,3.259228
-2504.968264,48,3.290764
-1525.505685,48,3.323489
-1622.279012,48,3.355304
-2254.774761,48,3.386805
-1521.921201,48,3.419466
-1175.971169,48,3.450884
-1565.541811,48,3.482251
-6011.752426,48,3.514868
-1435.447931,48,3.629396
-1627.463944,48,3.660951
-1458.941128,48,3.692307
-2815.249937,48,3.72491
-1474.579113,48,3.756776
-1730.069304,48,3.788202
-1740.503751,48,3.820767
-1215.895879,48,3.852278
-1295.435169,48,3.883766
-5428.547275,48,3.916373
-2442.363137,48,3.948159
-1824.752881,48,3.980178
-1503.263189,48,4.013431
-2254.703853,48,4.045091
-1465.001998,48,4.076473
-3187.95003,48,4.108016
-2166.692354,48,4.140544
-3310.190705,48,4.172595
-9223.195089,48,4.204215
-7900.011207,48,4.236867
-1396.113237,48,4.268422
-1222.077073,48,4.299928
-938.253898,48,4.332515
-1891.368422,48,4.364328
-1895.031696,48,4.39605
-2096.389254,48,4.428691
-1153.299265,48,4.46001
-1207.607806,48,4.491572
-1697.438149,48,4.524231
-1510.348558,48,4.556107
-5628.806107,48,4.587543
-1715.372386,48,4.620271
-2084.689143,48,4.651777
-2298.254862,48,4.683498
-2192.261735,48,4.714959
-2559.719812,48,4.747714
-1520.808411,48,4.779406
-1122.180458,48,4.811062
-1603.715965,48,4.843492
-3340.727702,48,4.874916
-1275.528528,48,4.90643
-2352.642058,48,4.939179
-7012.85849,48,4.970804
-1061.664396,48,5.084248
-2429.262892,48,5.115711
-2398.980896,48,5.148388
-1734.479932,48,5.179954
-2355.612759,48,5.211272
-2013.291609,48,5.243907
-1218.113766,48,5.275199
-1321.590652,48,5.306471
-1927.672292,48,5.33892
-2336.363621,48,5.37071
-1846.522605,48,5.402214
-2006.297505,48,5.434567
-1343.850731,48,5.465728
-1356.927951,48,5.497046
-1843.399362,48,5.529587
-1623.668487,48,5.561118
-1400.607622,48,5.592562
-3632.376362,48,5.623871
-7670.502766,48,5.656294
-2826.572736,48,5.687667
-2357.068256,48,5.718982
-1826.654004,48,5.751434
-1698.891527,48,5.783199
-1637.154211,48,5.814471
-1949.890323,48,5.846928
-1927.493951,48,5.878239
-2879.545418,48,5.909552
-1508.586564,48,5.941667
-2678.091788,48,5.973432
-1519.072743,48,6.005856
-2119.161674,48,6.038711
-3110.783343,48,6.070115
-1411.472209,48,6.101329
-2321.913496,48,6.132701
-2592.281719,48,6.165856
-1999.008028,48,6.197089
-1168.703104,48,6.228454
-1477.208903,48,6.260899
-2632.288393,48,6.292123
-1817.893539,48,6.323239
-2364.429794,48,6.355473
-2765.15001,48,6.387098
-5867.917009,48,6.499334
-1517.038261,48,6.530717
-1597.956573,48,6.563732
-1854.777187,48,6.595176
-2461.863177,48,6.626524
-1230.243401,48,6.658932
-2662.418107,48,6.690387
-1643.090391,48,6.721615
-1660.633832,48,6.75396
-1700.386213,48,6.785395
-1823.75097,48,6.816687
-1390.157855,48,6.849016
-2572.199137,48,6.880078
-1359.498132,48,6.911116
-1701.253413,48,6.942227
-1914.069834,48,6.974945
-1574.086592,48,7.007239
-2057.392793,48,7.038475
-2252.029966,48,7.071083
-1563.896856,48,7.102268
-1832.847539,48,7.133624
-1965.368662,48,7.165902
-1628.043827,48,7.197556
-1275.232121,48,7.228922
-6776.162881,48,7.261488
-1842.930575,48,7.292455
-1585.210542,48,7.323633
-1098.902613,48,7.355874
-2837.564364,48,7.387451
-2268.695481,48,7.418624
-2256.587335,48,7.450895
-1711.36658,48,7.482204
-1785.472538,48,7.513581
-1744.520494,48,7.544638
-2278.259949,48,7.577245
-2528.589016,48,7.608677
-1224.187852,48,7.639898
-948.786322,48,7.672119
-2574.643241,64,7.946407
-1421.546156,48,7.979738
-1804.439773,48,8.011966
-2042.385629,48,8.043458
-1633.409929,48,8.075726
-2326.982405,48,8.187971
-857.830071,48,8.21958
-1333.381614,48,8.251127
-1440.227979,48,8.283711
-1621.324631,48,8.315064
-1644.077505,48,8.346376
-2227.171693,48,8.378727
-1724.724501,48,8.410333
-1969.070923,48,8.441693
-907.889781,48,8.474001
-1521.434511,48,8.505398
-1383.029793,48,8.536679
-6749.643266,48,8.56919
-2056.591337,48,8.600921
-1608.975167,48,8.632358
-1283.366482,48,8.664917
-1534.289493,48,8.696483
-1821.402389,48,8.727824
-1275.496087,48,8.759754
-1000.32648,48,8.792387
-1147.279118,48,8.823849
-1043.475849,48,8.855337
-2308.2074,48,8.887953
-2394.154676,48,8.919234
-1598.907882,48,8.950518
-773.141189,48,8.983268
-1481.240625,48,9.015848
-2075.081739,48,9.046947
-1282.56743,48,9.079454
-1092.515454,48,9.110714
-2183.577027,48,9.142012
-1606.773761,48,9.17415
-898.395829,48,9.205876
-1563.901727,48,9.237163
-1516.04079,48,9.268515
-1227.364288,48,9.301209
-1919.719273,48,9.332511
-1010.261342,48,9.363849
-2296.789022,48,9.396549
-1987.36923,48,9.427717
-913.145744,48,9.459622
-963.749982,48,9.492106
-1655.357689,48,9.606407
-1731.830253,48,9.638057
-1163.635904,48,9.669516
-1317.071928,48,9.702314
-1725.450533,48,9.733751
-1388.105762,48,9.765006
-1213.501288,48,9.797823
-2016.882695,48,9.829314
-1025.060835,48,9.860637
-1269.89936,48,9.893017
-1106.21342,48,9.924206
-2906.070375,48,9.955483
-806.428403,48,9.988233
-1478.907819,48,10.020564
-2286.304297,48,10.051913
-1099.178581,48,10.084471
-2706.0074,48,10.115791
-3425.420475,48,10.146937
-1673.127183,48,10.178349
-1435.541432,48,10.21135
-1261.672925,48,10.242691
-1000.726799,48,10.273884
-1857.85158,48,10.306502
-952.383545,48,10.337693
-1145.774125,48,10.368886
-1453.728419,48,10.401442
-2240.655561,48,10.432846
-2118.109849,48,10.46417
-3100.143729,48,10.496635
-1533.485115,48,10.527862
-1043.218354,48,10.559126
-991.951591,48,10.591477
-2308.486722,48,10.623171
-1424.855264,48,10.654309
-1530.031086,48,10.68689
-2377.177633,48,10.718264
-1231.295595,48,10.749639
-1831.023879,48,10.780898
-1831.702312,48,10.813801
-1587.346684,48,10.845137
-1409.062629,48,10.876416
-1169.972832,48,10.908843
-1336.369164,48,10.94032
-7568.864818,48,11.056038
-5791.168449,48,11.087675
-2310.789999,48,11.120176
-886.02249,48,11.151419
-1863.471309,48,11.182881
-3789.773291,48,11.215799
-733.288472,48,11.247261
-7628.261567,48,11.27875
-2449.534314,48,11.311509
-1498.427584,48,11.342825
-1159.805241,48,11.374131
-1962.861251,48,11.406992
-1266.750056,48,11.438351
-1315.864684,48,11.469795
-1237.117528,48,11.502328
-1669.503847,48,11.533835
-1420.994091,48,11.565233
-1160.392404,48,11.59782
-1324.404099,48,11.629546
-1656.630044,48,11.66096
-920.639778,48,11.692472
-1185.558482,48,11.724971
-1222.018599,48,11.756345
-1517.127992,48,11.787868
-5613.821965,48,11.820656
-5363.576822,48,11.852134
-3097.668874,48,11.883485
-2221.056699,48,11.916137
-1022.179961,48,11.947569
-1331.420124,48,11.979067
-3852.122054,48,12.012346
-4408.38434,48,12.043736
-1104.66374,48,12.075222
-1149.029231,48,12.107653
-1393.699296,48,12.138875
-6782.600663,48,12.170333
-1364.827591,48,12.202695
-1466.005717,48,12.234462
-875.289775,48,12.265751
-4879.419758,48,12.297179
-7553.37401,48,12.330277
-818.046407,48,12.361635
-1511.198125,48,12.392941
-1156.053669,48,12.502676
-3590.666317,48,12.535835
-1849.021431,48,12.56716
-1149.051223,48,12.598561
-1499.280342,48,12.631549
-1235.056442,48,12.663036
-1091.898291,48,12.69465
-1051.196566,48,12.727113
-1557.0379,48,12.75847
-1183.245214,48,12.789878
-1309.515218,48,12.8227
-2632.093445,48,12.854018
-2090.686193,48,12.885644
-1139.950526,48,12.918332
-865.564434,48,12.949692
-2226.134128,48,12.980872
-1362.379676,48,13.014387
-1557.684574,48,13.046548
-1916.883866,48,13.078196
-3273.758343,48,13.109505
-884.980356,48,13.14204
-1915.276002,48,13.173375
-1185.182374,48,13.204816
-1920.369027,48,13.237502
-1543.745749,48,13.269147
-1158.389125,48,13.300679
-1421.952638,48,13.333338
-1888.551225,48,13.364607
-4808.101236,48,13.395999
-1291.281399,48,13.42879
-2779.327519,48,13.460199
-1910.438525,48,13.491532
-1034.809435,48,13.524035
-2032.443029,48,13.555516
-909.739821,48,13.587064
-1103.666147,48,13.61942
-1269.516866,48,13.651026
-809.182201,48,13.682565
-1435.442492,48,13.713984
-1932.003893,48,13.746412
-1210.307539,48,13.777749
-2155.465174,48,13.809171
-989.319888,48,13.923783
-1508.13518,48,13.955107
-1140.830319,48,13.98672
-5076.537504,48,14.018975
-615.75539,48,14.052074
-1554.597103,48,14.083552
-4127.169538,48,14.115016
-1756.194633,48,14.147774
-1059.919787,48,14.179272
-1538.595176,48,14.210704
-1234.793045,48,14.243649
-1293.068395,48,14.275329
-1162.699125,48,14.306917
-1060.689708,48,14.339411
-1242.220405,48,14.370864
-1386.851946,48,14.402393
-1157.774793,48,14.435271
-1766.981921,48,14.466571
