#{"t_start": 1722674652.9570227, "env_id": "None"}
r,l,t
-1026.907899,48,0.453254
-7796.978657,48,0.48496
-3708.915692,48,0.516407
-1154.190912,48,0.548978
-1023.113207,48,0.580107
-1052.834463,48,0.611398
-901.26026,48,0.643816
-1747.006457,48,0.67495
-1272.111181,48,0.706149
-2038.582508,48,0.737462
-1617.687967,48,0.769845
-3950.94038,48,0.801056
-1490.654224,48,0.83225
-4488.579883,48,0.864674
-2312.192065,48,0.895832
-2094.749456,48,0.927026
-2328.101961,48,0.959362
-960.178499,48,0.990546
-720.589952,48,1.02161
-1375.930527,48,1.053815
-1532.106763,48,1.084912
-826.979108,48,1.116073
-1671.932156,48,1.14834
-1966.852609,48,1.179409
-1612.563313,48,1.210513
-1134.008407,48,1.241662
-2250.119385,48,1.273976
-2276.201345,48,1.305129
-1523.678984,48,1.336289
-2137.304601,48,1.368457
-2112.887709,48,1.399581
-2347.916492,48,1.430517
-2374.919186,48,1.463483
-2044.36099,48,1.494891
-1171.526109,48,1.526178
-1598.089327,48,1.55833
-1794.892181,48,1.589411
-2062.071011,48,1.620592
-1159.315904,48,1.652861
-1484.307453,48,1.683908
-1304.396275,48,1.71518
-1322.227569,48,1.746301
-8162.357031,48,2.14886
-7428.490121,48,2.181458
-1369.27362,48,2.212878
-953.192858,48,2.244389
-1394.951663,48,2.277148
-1531.892797,48,2.308536
-958.457673,48,2.339988
-5104.359432,48,2.372383
-6526.947119,48,2.403858
-890.628045,48,2.435177
-6387.52142,48,2.468388
-1160.314608,48,2.499808
-5995.981125,48,2.531341
-1641.132058,48,2.563823
-7195.900465,48,2.595559
-804.781078,48,2.627155
-1848.222336,48,2.6587
-1268.925952,48,2.691138
-723.29142,48,2.722692
-7022.449138,48,2.754257
-10784.052588,48,2.786734
-907.03586,48,2.818249
-10976.730133,48,2.849684
-1308.702072,48,2.882262
-753.285666,48,2.913797
-1295.640325,48,2.945293
-797.7288,48,2.977947
-679.67206,48,3.009474
-1617.177231,48,3.041062
-1099.105481,48,3.073632
-1666.762665,48,3.10514
-6698.23375,48,3.13671
-948.398987,48,3.169162
-1770.454889,48,3.200728
-5273.511824,48,3.232237
-1346.045137,48,3.264047
-5323.293476,48,3.297493
-5556.847313,48,3.329092
-1042.847798,48,3.360656
-3596.05809,48,3.39351
-545.572421,48,3.425012
-8197.713194,48,3.456986
-8587.64322,48,3.490173
-7275.264381,48,3.602472
-9754.186815,48,3.634146
-5890.711538,48,3.665848
-4005.760363,48,3.698929
-7494.808328,48,3.730594
-1171.880363,48,3.762269
-7855.561801,48,3.795027
-1132.655358,48,3.826642
-3916.530866,48,3.858384
-11990.074197,48,3.891109
-2446.354687,48,3.922597
-5277.345666,48,3.954306
-3585.742014,48,3.987094
-8036.955351,48,4.01869
