#{"t_start": 1722455430.2871583, "env_id": "None"}
r,l,t
-6.881792214486581e+26,48,0.519873
-9.412692416086808e+26,48,0.549927
-2.4211716410579594e+27,48,0.92084
-3.127644913941502e+27,48,1.183593
-1.8494608304502565e+27,48,1.456426
-3.871170079688699e+25,48,1.725952
-7.993226720834014e+26,48,2.005849
-7.411245425543774e+25,48,2.27231
-3.483882511484264e+27,48,2.543921
-9.838512825539731e+27,48,2.81088
-3.4662852172864285e+27,48,3.077893
-3.272197327902531e+26,48,3.344742
-2.6016443755422634e+25,48,3.613245
-1.2911341451045252e+25,48,3.894428
-7.385838648483763e+27,48,4.166899
-8.885980581867718e+26,48,4.441099
-3.2146556024137153e+27,48,4.716807
-3.8845458634944796e+26,48,4.991007
-1.4046608707759054e+26,48,5.271431
-6.059607393263797e+27,48,5.534403
-1.8806569911810063e+26,48,5.798852
-4.374171690028998e+26,48,6.0739
-1.0103460660069763e+23,48,6.342404
-5.653179321549028e+27,48,6.616111
-1.786390388777135e+27,48,6.885049
-2.851463769299744e+26,48,7.151066
-1.2118537741831162e+24,48,7.417049
-2.698214926660398e+26,48,7.684286
-5.176989462552617e+24,48,7.960133
-1.964371462075176e+26,48,8.232909
-1.0177641350067785e+25,48,8.49936
-7.398532541403834e+27,48,8.775236
-2.0740691197978065e+27,48,9.050702
-5.7395372137405545e+25,48,9.325916
-5.741811493217069e+27,48,9.590664
-8.354733383993246e+27,48,9.869319
-1.6905390096827538e+25,48,10.14058
-5.788562302437744e+26,48,10.410179
-1.1966562215984927e+27,48,10.68708
-4.313300519092174e+26,48,10.967995
-1.1931557633014677e+27,48,11.235059
-2.4633409143813131e+27,48,11.499876
-6.457484078255734e+26,48,11.767644
-7.1922703032378744e+25,48,12.036374
-3.213423665302413e+27,48,12.309989
-2.9966188189016834e+27,48,12.582155
-3.6545905309111093e+25,48,12.84864
-2.0084990993683205e+23,48,13.12299
-4.5470001025414326e+26,48,13.39722
-9.161521738804177e+26,48,13.668376
-3.8465477975452313e+25,48,13.936859
-1.801029630805489e+27,48,14.209102
-8.042573832225312e+27,48,14.47622
-3.832285369620044e+24,48,14.739977
-1.1274831434485754e+27,48,15.012162
-7.48802427170224e+26,48,15.278439
-3.7923194689646967e+25,48,15.558228
-4.537278890061674e+25,48,15.822133
-1.4404874998917221e+26,48,16.082553
-4.4282047817129635e+27,48,16.35043
-3.3635664052984774e+27,48,16.616781
-2.5798593416346693e+26,48,16.88201
-9.519387101455876e+25,48,17.148749
-1.6141679502563688e+26,48,17.416589
-3.907690468290841e+24,48,17.689621
-2.6957849860731066e+24,48,17.956166
-3.8837005494189876e+24,48,18.22004
-1.7599817589708757e+27,48,18.489327
-1.0141515550000171e+27,48,18.75979
-4.471332110438052e+24,48,19.033395
-7.632779142365509e+24,48,19.301674
-8.932921539594626e+24,48,19.571764
-1.1976104028673504e+25,48,19.857618
-2.9019969639930287e+26,48,20.136652
-7.4560345751523215e+25,48,20.438372
-4.279664785293901e+26,48,20.718914
-9.389390692329962e+25,48,20.994922
-1.39885912807157e+27,48,21.274299
-8.08525836309148e+26,48,21.542123
-1.403418250684004e+27,48,21.811898
-7.22836436321775e+26,48,22.077707
-5.316528922642507e+24,48,22.347027
-9.711152348634394e+26,48,22.613881
-2.5038188698474657e+27,48,22.869891
-7.439992167743057e+23,48,23.135753
-1.343888691745738e+26,48,23.406911
